paper_name,libero_spatial,libero_spatial_prev_sota,delta_libero_spatial,P_A,Delta_necessary,Delta_sufficient,delta_bin
ConsisVLA-4D: Advancing Spatiotemporal Consistency in Efficient 3D-Perception and 4D-Reasoning for Robotic Manipulation,98.8,98.8,0.0,0.988,0.006,0.01,not_significant
CORAL: Scalable Multi-Task Robot Learning via LoRA Experts,99.6,99.6,0.0,0.996,,,certainly_significant
CorridorVLA: Explicit Spatial Constraints for Generative Action Heads via Sparse Anchors,92.0,98.0,-0.05999999999999994,0.98,0.006,0.014,negative
Cosmos Policy: Fine-Tuning Video Models for Visuomotor Control and Planning,98.1,98.8,-0.007000000000000006,0.988,0.006,0.01,negative
COT-FM: Cluster-wise Optimal Transport Flow Matching,96.1,97.1,-0.010000000000000009,0.972,0.006,0.016,negative
CycleVLA: Proactive Self-Correcting Vision-Language-Action Models via Subtask Backtracking and Minimum Bayes Risk Decoding,97.6,94.4,0.03199999999999992,0.944,0.006,0.024,certainly_significant
DepthCache: Depth-Guided Training-Free Visual Token Merging for Vision-Language-Action Model Inference,98.9,99.0,-0.0009999999999998899,0.99,0.006,0.01,negative
Device-Conditioned Neural Architecture Search for Efficient Robotic Manipulation,97.2,97.6,-0.0040000000000000036,0.976,0.006,0.014,negative
DFM-VLA: Iterative Action Refinement for Robot Manipulation via Discrete Flow Matching,96.8,97.5,-0.007000000000000006,0.976,0.006,0.014,negative
DiT4DiT: Jointly Modeling Video Dynamics and Actions for Generalizable Robot Control,98.4,98.8,-0.0039999999999998925,0.988,0.006,0.01,negative
DualCoT-VLA: Visual-Linguistic Chain of Thought via Parallel Reasoning for Vision-Language-Action Models,99.4,98.8,0.006000000000000116,0.988,0.006,0.01,possibly_significant
DyQ-VLA: Temporal-Dynamic-Aware Quantization for Embodied Vision-Language-Action Models,84.7,84.7,0.0,0.848,0.006,0.04,not_significant
DySL-VLA: Efficient Vision-Language-Action Model Inference via Dynamic-Static Layer-Skipping for Robot Manipulation,98.0,97.6,0.0040000000000000036,0.976,0.006,0.014,not_significant
Efficient Long-Horizon Vision-Language-Action Models via Static-Dynamic Disentanglement,97.8,96.2,0.015999999999999903,0.962,0.006,0.018,possibly_significant
Fast-dVLA: Accelerating Discrete Diffusion VLA to Real-Time Performance,97.0,98.8,-0.018000000000000016,0.988,0.006,0.01,negative
Fast-ThinkAct: Efficient Vision-Language-Action Reasoning via Verbalizable Latent Planning,92.0,88.3,0.03700000000000003,0.884,0.006,0.034,certainly_significant
Fast-WAM: Do World Action Models Need Test-time Future Imagination?,98.2,98.8,-0.006000000000000005,0.988,0.006,0.01,negative
FASTER: Rethinking Real-Time Flow VLAs,99.0,98.8,0.0020000000000000018,0.988,0.006,0.01,not_significant
FlowHijack: A Dynamics-Aware Backdoor Attack on Flow-Matching Vision-Language-Action Models,96.0,96.8,-0.008000000000000007,0.968,0.006,0.018,negative
From Noise to Intent: Anchoring Generative VLA Policies with Residual Bridges,96.8,97.8,-0.010000000000000009,0.978,0.006,0.014,negative
From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models,97.2,97.6,-0.0040000000000000036,0.976,0.006,0.014,negative
Generative Control as Optimization: Time Unconditional Flow Matching for Adaptive and Robust Robotic Control,97.4,98.8,-0.013999999999999901,0.988,0.006,0.01,negative
GST-VLA: Structured Gaussian Spatial Tokens for 3D Depth-Aware Vision-Language-Action Models,98.2,97.1,0.01100000000000001,0.972,0.006,0.016,possibly_significant
HeiSD: Hybrid Speculative Decoding for Embodied Vision-Language-Action Models with Kinematic Awareness,78.0,80.4,-0.02400000000000002,0.804,0.006,0.044,negative
HoloBrain-0 Technical Report,97.2,98.8,-0.016000000000000014,0.988,0.006,0.01,negative
JEPA-VLA: Video Predictive Embedding is Needed for VLA Models,97.2,96.2,0.009999999999999898,0.962,0.006,0.018,possibly_significant
Joint-Aligned Latent Action: Towards Scalable VLA Pretraining in the Wild,96.0,96.8,-0.008000000000000007,0.968,0.006,0.018,negative
KERV: Kinematic-Rectified Speculative Decoding for Embodied VLA Models,83.7,85.2,-0.014999999999999902,0.852,0.006,0.038,negative
LaMP: Learning Vision-Language-Action Policies with 3D Scene Flow as Latent Motion Prior,99.4,98.8,0.006000000000000116,0.988,0.006,0.01,possibly_significant
LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries,99.2,98.8,0.0040000000000000036,0.988,0.006,0.01,not_significant
LangGap: Diagnosing and Closing the Language Gap in Vision-Language-Action Models,97.0,97.0,0.0,0.97,0.006,0.016,not_significant
Language-Grounded Decoupled Action Representation for Robotic Manipulation,95.2,96.4,-0.01200000000000001,0.964,0.006,0.018,negative
LAR-MoE: Latent-Aligned Routing for Mixture of Experts in Robotic Imitation Learning,98.0,98.0,0.0,0.98,0.006,0.014,not_significant
Latent Bridge: Feature Delta Prediction for Efficient Dual-System Vision-Language-Action Model Inference,99.0,98.83,0.0017000000000000348,0.988,0.006,0.01,not_significant
Learning Diffusion Policy from Primitive Skills for Robot Manipulation,98.3,95.2,0.030999999999999917,0.952,0.006,0.022,certainly_significant
Learning Physics from Pretrained Video Models: A Multimodal Continuous and Sequential World Interaction Models for Robotic Manipulation,91.0,96.0,-0.04999999999999993,0.96,0.006,0.02,negative
Learning to Accelerate Vision-Language-Action Models through Adaptive Visual Token Caching,85.6,84.4,0.0119999999999999,0.844,0.006,0.04,possibly_significant
Libra-VLA: Achieving Learning Equilibrium via Asynchronous Coarse-to-Fine Dual-System,98.6,98.8,-0.0020000000000000018,0.988,0.006,0.01,negative
$M^2$-VLA: Boosting Vision-Language Models for Generalizable Manipulation via Layer Mixture and Meta-Skills,97.8,94.4,0.03399999999999992,0.944,0.006,0.024,certainly_significant
Mask World Model: Predicting What Matters for Robust Robot Policy Learning,98.8,98.2,0.006000000000000005,0.982,0.006,0.012,possibly_significant
MMaDA-VLA: Large Diffusion Vision-Language-Action Model with Unified Multi-Modal Instruction and Generation,98.8,98.8,0.0,0.988,0.006,0.01,not_significant
MoIRA: Modular instruction routing architecture for multi-task robotics,94.0,90.0,0.039999999999999925,0.9,0.006,0.032,certainly_significant
Neural Implicit Action Fields: From Discrete Waypoints to Continuous Functions for Vision-Language-Action Models,98.2,97.1,0.01100000000000001,0.972,0.006,0.016,possibly_significant
OFlow: Injecting Object-Aware Temporal Flow Matching for Robust Robotic Manipulation,98.0,98.0,0.0,0.98,0.006,0.014,not_significant
OmniVLA-RL: A Vision-Language-Action Model with Spatial Understanding and Online RL,99.2,98.8,0.0040000000000000036,0.988,0.006,0.01,not_significant
OxyGen: Unified KV Cache Management for Vision-Language-Action Models under Multi-Task Parallelism,98.0,98.8,-0.008000000000000007,0.988,0.006,0.01,negative
PALM: Progress-Aware Policy Learning via Affordance Reasoning for Long-Horizon Robotic Manipulation,95.2,88.2,0.07000000000000006,0.882,0.006,0.034,certainly_significant
Phantom Menace: Exploring and Enhancing the Robustness of VLA Models Against Physical Sensor Attacks,97.6,97.6,0.0,0.976,0.006,0.014,not_significant
PokeVLA: Empowering Pocket-Sized Vision-Language-Action Model with Comprehensive World Knowledge Guidance,99.6,99.6,0.0,0.996,,,certainly_significant
Pri4R: Learning World Dynamics for Vision-Language-Action Models with Privileged 4D Representation,93.2,96.1,-0.028999999999999915,0.96,0.006,0.02,negative
Privileged Foresight Distillation: Zero-Cost Future Correction for World Action Models,98.6,98.8,-0.0020000000000000018,0.988,0.006,0.01,negative
ProgressVLA: Progress-Guided Diffusion Policy for Vision-Language Robotic Manipulation,88.2,84.7,0.03500000000000003,0.848,0.006,0.04,possibly_significant
QuantVLA: Scale-Calibrated Post-Training Quantization for Vision-Language-Action Models,98.5,98.5,0.0,0.984,0.006,0.012,not_significant
QVLA: Not All Channels Are Equal in Vision-Language-Action Model's Quantization,96.2,97.6,-0.013999999999999901,0.976,0.006,0.014,negative
Recurrent-Depth VLA: Implicit Test-Time Compute Scaling of Vision-Language-Action Models via Latent Iterative Reasoning,92.0,96.4,-0.04400000000000004,0.964,0.006,0.018,negative
Reshaping Action Error Distributions for Reliable Vision-Language-Action Models,99.8,99.4,0.0039999999999998925,0.994,0.006,0.006,not_significant
Restoring Linguistic Grounding in VLA Models via Train-Free Attention Recalibration,97.6,97.6,0.0,0.976,0.006,0.014,not_significant
"Rethinking Visual-Language-Action Model Scaling: Alignment, Mixture, and Regularization",98.4,98.8,-0.0039999999999998925,0.988,0.006,0.01,negative
ReViP: Mitigating False Completion in Vision-Language-Action Models with Vision-Proprioception Rebalance,99.0,98.0,0.010000000000000009,0.98,0.006,0.014,possibly_significant
RoboAlign: Learning Test-Time Reasoning for Language-Action Alignment in Vision-Language-Action Models,93.8,88.3,0.05499999999999994,0.884,0.006,0.034,certainly_significant
Robotic Manipulation is Vision-to-Geometry Mapping ($f(v) \rightarrow G$): Vision-Geometry Backbones over Language and Video Models,99.0,98.8,0.0020000000000000018,0.988,0.006,0.01,not_significant
ROCKET: Residual-Oriented Multi-Layer Alignment for Spatially-Aware Vision-Language-Action Models,98.2,99.4,-0.012000000000000122,0.994,0.006,0.006,negative
