paper_name,simplerenv_widowx_bridge_success_rate,simplerenv_widowx_bridge_prev_sota_success_rate,delta_simplerenv_widowx_bridge_success_rate,P_A,Delta_necessary,Delta_sufficient,delta_bin
FASTer: Toward Efficient Autoregressive Vision Language Action Modeling via Neural Action Tokenization,87.9,76.5,0.11399999999999999,0.7604166666666666,0.03125,0.10416666666666667,certainly_significant
FLOWER: Democratizing Generalist Robot Policies with Efficient Vision-Language-Action Flow Policies,45.0,30.0,0.15000000000000002,0.3020833333333333,0.03125,0.15625,possibly_significant
FlowVLA: Visual Chain of Thought-based Motion Reasoning for Vision-Language-Action Models,74.0,65.6,0.08400000000000007,0.65625,0.03125,0.13541666666666666,possibly_significant
From Seeing to Doing: Bridging Reasoning and Decision for Robotic Manipulation,40.6,48.3,-0.07699999999999996,0.4791666666666667,0.03125,0.16666666666666666,negative
From Spatial to Actions: Grounding Vision-Language-Action Model in Spatial Foundation Priors,56.3,42.7,0.1359999999999999,0.4270833333333333,0.03125,0.17708333333333334,possibly_significant
Generalist Robot Manipulation beyond Action Labeled Data,68.2,56.8,0.1140000000000001,0.5729166666666666,0.03125,0.14583333333333334,possibly_significant
HAMLET: Switch your Vision-Language-Action Model into a History-Aware Policy,63.5,52.1,0.11399999999999999,0.5208333333333334,0.03125,0.15625,possibly_significant
Hierarchical Vision Language Action Model Using Success and Failure Demonstrations,40.6,38.9,0.017000000000000015,0.3854166666666667,0.03125,0.16666666666666666,not_significant
How Do VLAs Effectively Inherit from VLMs?,49.0,27.0,0.21999999999999997,0.2708333333333333,0.03125,0.14583333333333334,certainly_significant
Hume: Introducing System-2 Thinking in Visual-Language-Action Model,72.6,48.3,0.243,0.4791666666666667,0.03125,0.16666666666666666,certainly_significant
HyperVLA: Efficient Inference in Vision-Language-Action Models via Hypernetworks,40.0,36.0,0.040000000000000036,0.3645833333333333,0.03125,0.16666666666666666,possibly_significant
Interleave-VLA: Enhancing Robot Manipulation with Interleaved Image-Text Instructions,71.0,69.2,0.017999999999999905,0.6875,0.03125,0.125,not_significant
LatBot: Distilling Universal Latent Actions for Vision-Language-Action Models,87.5,71.9,0.15599999999999992,0.71875,0.03125,0.11458333333333333,certainly_significant
LLaDA-VLA: Vision Language Diffusion Action Models,55.5,51.3,0.04200000000000004,0.5104166666666666,0.03125,0.15625,possibly_significant
LoLA: Long Horizon Latent Action Learning for General Robot Manipulation,71.9,51.3,0.20600000000000007,0.5104166666666666,0.03125,0.15625,certainly_significant
Magma: A Foundation Model for Multimodal AI Agents,35.4,15.9,0.19499999999999998,0.15625,0.03125,0.11458333333333333,certainly_significant
ManiAgent: An Agentic Framework for General Robotic Manipulation,86.8,55.7,0.31099999999999994,0.5520833333333334,0.03125,0.15625,certainly_significant
MAPS: Preserving Vision-Language Representations via Module-Wise Proximity Scheduling for Better Vision-Language-Action Generalization,42.5,69.2,-0.26700000000000007,0.6875,0.03125,0.125,negative
MemoryVLA: Perceptual-Cognitive Memory in Vision-Language-Action Models for Robotic Manipulation,71.9,68.4,0.03500000000000003,0.6875,0.03125,0.125,possibly_significant
mimic-video: Video-Action Models for Generalizable Robot Control Beyond VLAs,56.3,45.0,0.11299999999999993,0.4479166666666667,0.03125,0.16666666666666666,possibly_significant
More than A Point: Capturing Uncertainty with Adaptive Affordance Heatmaps for Spatial Grounding in Robotic Tasks,60.5,56.2,0.04299999999999993,0.5625,0.03125,0.14583333333333334,possibly_significant
ORV: 4D Occupancy-centric Robot Video Generation,38.5,36.2,0.022999999999999965,0.3645833333333333,0.03125,0.16666666666666666,not_significant
PhysBrain: Human Egocentric Data as a Bridge from Vision Language Models to Physical Intelligence,67.4,67.6,-0.0019999999999998908,0.6770833333333334,0.03125,0.125,negative
$\pi_\texttt{RL}$: Online RL Fine-tuning for Flow-based Vision-Language-Action Models,86.7,67.2,0.19499999999999995,0.6770833333333334,0.03125,0.125,certainly_significant
PixelVLA: Advancing Pixel-level Understanding in Vision-Language-Action Model,33.8,34.4,-0.006000000000000005,0.34375,0.03125,0.15625,negative
QDepth-VLA: Quantized Depth Prediction as Auxiliary Supervision for Vision-Language-Action Models,68.5,60.0,0.08500000000000008,0.6041666666666666,0.03125,0.14583333333333334,possibly_significant
ReBot: Scaling Robot Learning with Real-to-Sim-to-Real Robotic Video Synthesis,23.2,16.0,0.07199999999999998,0.15625,0.03125,0.11458333333333333,possibly_significant
Reinforcing Action Policies by Prophesying,51.0,42.7,0.08299999999999996,0.4270833333333333,0.03125,0.17708333333333334,possibly_significant
RoboMonkey: Scaling Test-Time Sampling and Verification for Vision-Language-Action Models,47.5,38.5,0.08999999999999997,0.3854166666666667,0.03125,0.16666666666666666,possibly_significant
SITCOM: Scaling Inference-Time COMpute for VLAs,72.0,48.0,0.24,0.4791666666666667,0.03125,0.16666666666666666,certainly_significant
SoFar: Language-Grounded Orientation Bridges Spatial Reasoning and Object Manipulation,58.3,42.7,0.15599999999999992,0.4270833333333333,0.03125,0.17708333333333334,possibly_significant
SP-VLA: A Joint Model Scheduling and Token Pruning Approach for VLA Model Acceleration,57.29,51.3,0.05989999999999995,0.5104166666666666,0.03125,0.15625,possibly_significant
Spatial Traces: Enhancing VLA Models with Spatial-Temporal Understanding,38.1,34.1,0.03999999999999998,0.34375,0.03125,0.15625,possibly_significant
SpatialVLA: Exploring Spatial Representations for Visual-Language-Action Model,42.7,31.3,0.11400000000000005,0.3125,0.03125,0.15625,possibly_significant
